Complete Configuration Data
======================================================================
Index | B1_x B1_y | B2_x B2_y | g(1) | g(2)
  345 |   20   20 |   18    1 |    8 |   28
  346 |   20    9 |    1    6 |    8 |   28
  347 |    9   10 |   11   12 |    4 |    8
  348 |    1    6 |    5   19 |    8 |   28
  349 |   13    3 |    5    1 |    4 |    8
  350 |    3   17 |    7   13 |    8 |   28
  351 |   14   15 |   11    6 |    8 |   28
  352 |   12   10 |   11   19 |    8 |   28
  353 |   20    3 |    2    5 |    8 |   28
  354 |    6   20 |    2    3 |    8 |   28
  355 |    9   15 |   14   16 |    8 |   28
  356 |   20   15 |   14    9 |    8 |   28
  357 |    7   17 |    4   12 |    8 |   28
  358 |   14    4 |   10   19 |    8 |   28
  359 |   16   17 |   10    2 |    8 |   28
  360 |    8   13 |   20    2 |    8 |   28
  361 |    1    7 |   10    7 |    8 |   28
  362 |    5    9 |   10   11 |    8 |   28
  363 |    4    1 |   16   14 |    8 |   28
  364 |    6    5 |   13   18 |    8 |   27
  365 |    8   17 |   18   12 |    8 |   28
  366 |    3   13 |    2   14 |    7 |   23
  367 |    1   15 |    3   11 |    8 |   28
  368 |   19   14 |   19   13 |    7 |   23
  369 |   14   10 |    4   13 |    8 |   28
  370 |    1   11 |    6   20 |    8 |   28
  371 |   15   12 |    3   14 |    8 |   28
  372 |    4    8 |   14   19 |    8 |   28
  373 |   13   17 |    3   13 |    8 |   28
  374 |   10   11 |    8   11 |    8 |   27
  375 |    6    3 |   17    4 |    8 |   28
  376 |   17   17 |    7   12 |    8 |   28
  377 |   12    5 |    8    4 |    8 |   27
  378 |    5    9 |    7    6 |    8 |   28
  379 |   20    5 |    3    6 |    8 |   28
  380 |   16   15 |   19   19 |    7 |   23
  381 |   15   19 |   20   11 |    8 |   28
  382 |   11    5 |   15    3 |    8 |   28
  383 |   16   15 |   10    9 |    4 |    8
  384 |   19    2 |   12   17 |    8 |   28
  385 |    3   10 |   15   15 |    8 |   28
  386 |    2    2 |   12   10 |    8 |   28
  387 |    3    3 |   20   20 |    4 |    8
  388 |   17   13 |   15   19 |    8 |   28
  389 |   18    2 |   15   19 |    8 |   28
  390 |    7   11 |   20   16 |    8 |   28
  391 |   17    5 |    2   15 |    8 |   28
  392 |    4   11 |    3   17 |    8 |   28
  393 |    6    2 |    8   15 |    8 |   28
  394 |   15   17 |   17   20 |    8 |   28
  395 |    6   12 |   12   10 |    8 |   28
  396 |   13   14 |   11   20 |    8 |   28
  397 |    2   11 |    3   11 |    7 |   23
  398 |    4   18 |   13   10 |    8 |   28
  399 |    9   20 |    5   11 |    8 |   28
  400 |    3   19 |    5   12 |    8 |   28
  401 |   10   13 |    5   20 |    8 |   28
  402 |    3   10 |   18   13 |    8 |   28
  403 |   11    5 |   17    3 |    8 |   28
  404 |   14   17 |   12    1 |    8 |   28
  405 |   12   10 |    6    7 |    8 |   28
  406 |   11   16 |    7    8 |    8 |   28
  407 |    5    5 |    3   10 |    8 |   27
  408 |    4   17 |   18   17 |    8 |   28
  409 |    2   11 |   20    5 |    8 |   28
  410 |   20   13 |    5    6 |    8 |   28
  411 |    6   20 |    6   15 |    8 |   28
  412 |    2   14 |   12    8 |    8 |   28
  413 |   15   20 |   10   15 |    8 |   28
  414 |    8   18 |    8   10 |    8 |   28
  415 |   16    7 |   12   19 |    8 |   28
  416 |   15   15 |   10   13 |    8 |   28
  417 |   17   17 |   14    6 |    8 |   28
  418 |    7   20 |    5    9 |    8 |   28
  419 |    2   16 |   12   18 |    8 |   28
  420 |    4   17 |    4   10 |    8 |   28
  421 |    3    6 |    9   15 |    7 |   23
  422 |   17    5 |   14    3 |    8 |   28
  423 |    8   15 |   12    1 |    8 |   28
  424 |   14    2 |   13   17 |    8 |   28
  425 |   12    8 |   13    3 |    8 |   28
  426 |   12    8 |    1   11 |    8 |   28
  427 |    4   11 |    5    5 |    8 |   28
  428 |    2   10 |   16    5 |    8 |   28
  429 |   16   15 |   20    1 |    8 |   28
  430 |    3    1 |    9    7 |    8 |   28
  431 |    5   18 |   20   17 |    8 |   28
  432 |   14    4 |   10    8 |    8 |   28
  433 |   10    4 |    2    8 |    8 |   28
  434 |   14   20 |   15    3 |    8 |   28
  435 |    4   16 |   20   18 |    8 |   28
  436 |    1   17 |   19    8 |    8 |   28
  437 |    5   10 |   14    1 |    8 |   28
  438 |   20   12 |    8   19 |    8 |   28
  439 |   14    6 |    3   17 |    8 |   28
  440 |   12    3 |   17   18 |    8 |   28
  441 |   17   17 |   18    1 |    8 |   28
  442 |   13   16 |    2   13 |    8 |   28
  443 |   12    9 |    1   12 |    8 |   28
  444 |    3   12 |    8    4 |    8 |   28
  445 |   19   11 |    5    2 |    8 |   28
  446 |   12   18 |   11    6 |    8 |   28
  447 |   15   16 |    6    5 |    7 |   23
  448 |    3   15 |    2   10 |    4 |    8
  449 |   11   10 |   17   13 |    8 |   28
  450 |   18   16 |    9    2 |    8 |   28
  451 |    7   10 |   12    2 |    8 |   28
  452 |   11    9 |    4   12 |    8 |   28
  453 |   14   13 |   15   13 |    7 |   23
  454 |   11    6 |   16   16 |    8 |   28
  455 |   12   17 |    9    3 |    8 |   28
  456 |   14    3 |   14   20 |    8 |   28
  457 |    6   18 |   10   11 |    8 |   28
  458 |    4    3 |   11   10 |    4 |    8
  459 |   10   15 |   20   14 |    8 |   28
  460 |    6   15 |   12   15 |    8 |   28
  461 |    2   12 |   20   14 |    8 |   28
  462 |    9    2 |    3   13 |    8 |   28
  463 |   12   17 |    6    1 |    8 |   28
  464 |    5   20 |   15    2 |    8 |   28
  465 |    5    3 |    8   12 |    8 |   28
  466 |   12   13 |   19    2 |    8 |   28
  467 |   20    5 |   15   12 |    8 |   28
  468 |   12   15 |    3   19 |    8 |   28
  469 |    5   17 |   12   13 |    8 |   28
  470 |   11    9 |    8    4 |    8 |   28
  471 |    1    6 |   16   17 |    8 |   28
  472 |   13   18 |    4    9 |    8 |   28
  473 |    9   15 |    7   20 |    8 |   28
  474 |   10   16 |    7    4 |    8 |   28
  475 |    5    3 |   15    6 |    7 |   23
  476 |   15    3 |   11   12 |    8 |   28
  477 |    3   18 |   18   10 |    8 |   28
  478 |   10    6 |    6   12 |    8 |   28
  479 |   17    8 |    4    7 |    8 |   28
  480 |    5    8 |   16    1 |    8 |   28
  481 |   12   18 |   19   12 |    8 |   28
  482 |   15   18 |    5   20 |    8 |   28
  483 |    3    3 |   10   13 |    8 |   28
  484 |   16   17 |   14   14 |    7 |   23
  485 |   19    3 |    5   11 |    8 |   28
  486 |    3   15 |   15   17 |    8 |   28
  487 |   12    5 |   18   19 |    8 |   28
  488 |    6    5 |   14   17 |    8 |   28
  489 |    2    4 |   17    5 |    8 |   28
  490 |   10    6 |    6   11 |    8 |   28
  491 |    8   12 |   17   10 |    8 |   28
  492 |    3    9 |    7   18 |    7 |   23
  493 |    9    5 |   10   20 |    8 |   28
  494 |   18    3 |   17    6 |    8 |   28
  495 |   19   19 |    5    6 |    7 |   23
  496 |   20   20 |   11   19 |    8 |   28
  497 |    2    1 |    3    2 |    4 |    8
  498 |   19    9 |    7   19 |    8 |   28
  499 |   14   20 |    1   16 |    8 |   28
  500 |   18   10 |   10   16 |    8 |   28
  501 |    8   13 |   10   15 |    7 |   23
  502 |    3    2 |    6   15 |    8 |   27
  503 |   14   16 |   15    7 |    8 |   28
  504 |   11   20 |    5   11 |    7 |   19
  505 |   11   12 |   13    5 |    8 |   28
  506 |   12   17 |   18    4 |    8 |   28
  507 |   11    8 |   15    4 |    8 |   28
  508 |    9   15 |    8    5 |    8 |   28
  509 |    4    2 |   10   13 |    8 |   28
  510 |   20   14 |    8    6 |    8 |   28
  511 |   11   19 |   11    7 |    8 |   28
  512 |    6   16 |   17   15 |    8 |   28
  513 |   16   10 |   16    1 |    8 |   28
  514 |    3   13 |   17   15 |    8 |   28
  515 |    8    7 |   19   12 |    8 |   28
  516 |    2    2 |   10   16 |    8 |   28
  517 |   20   16 |   10   18 |    8 |   28
  518 |    1    4 |   14    5 |    8 |   28
  519 |    9   12 |   13   12 |    8 |   28
  520 |    2   13 |    2   19 |    8 |   28
  521 |   18    7 |   12   18 |    8 |   28
  522 |   10    3 |   13   17 |    8 |   28
  523 |   15   18 |    9   20 |    8 |   28
  524 |   20    4 |    5    4 |    8 |   28
  525 |   13   12 |   11   18 |    8 |   28
  526 |   12    5 |    7   20 |    8 |   28
  527 |   17   13 |   17    2 |    8 |   28
  528 |    2    2 |    5   11 |    7 |   22
  529 |   16   17 |   15    5 |    8 |   28
  530 |   20   17 |    5   11 |    8 |   28
  531 |   20   11 |    6   13 |    8 |   28
  532 |   20   10 |   19   11 |    7 |   23
  533 |   17   17 |   18   16 |    7 |   22
  534 |   19   10 |   16    1 |    8 |   28
  535 |   12   11 |    4   14 |    8 |   28
  536 |   19   10 |    1   20 |    8 |   28
  537 |   16    9 |   19   19 |    8 |   28
  538 |    8    2 |   19   16 |    8 |   28
  539 |    6   17 |   20   13 |    8 |   28
  540 |    5    8 |    2   19 |    8 |   28
  541 |    4    7 |    1   15 |    8 |   28
  542 |   11   14 |    5   14 |    8 |   28
  543 |    7   14 |   17   20 |    8 |   28
  544 |   16    2 |    5   17 |    8 |   28
  545 |    7   18 |   11   16 |    8 |   28
  546 |   17   13 |   11    6 |    8 |   28
  547 |   15   18 |   11   18 |    8 |   28
  548 |   12    9 |   20   16 |    7 |   23
  549 |    7    8 |    9   18 |    8 |   28
  550 |   10    8 |   10   10 |    8 |   28
  551 |    7   16 |   11   16 |    8 |   28
  552 |   12   18 |    9   10 |    8 |   28
  553 |    4   19 |   18   13 |    8 |   28
  554 |   13   12 |    5   10 |    8 |   28
  555 |    2   10 |    3   12 |    8 |   28
  556 |   15    9 |   16    7 |    8 |   28
  557 |    7   18 |    9   18 |    8 |   28
  558 |    9    5 |    4   20 |    8 |   28
  559 |   19    8 |    8    2 |    8 |   28
  560 |   17    8 |    8    2 |    8 |   28
  561 |    4   14 |   11   16 |    8 |   28
  562 |    4    5 |    1   18 |    8 |   28
  563 |    6   14 |   16   16 |    8 |   28
  564 |    7   10 |   11   10 |    8 |   28
  565 |    2    3 |   19    8 |    8 |   28
  566 |   18    2 |    6   14 |    8 |   28
  567 |    6    2 |   13   16 |    8 |   28
  568 |    6   10 |    2    1 |    8 |   28
  569 |   10   19 |   20    4 |    8 |   28
  570 |   11   10 |   15   18 |    8 |   28
  571 |   17   16 |    5   17 |    8 |   28
  572 |   15    9 |    7    4 |    8 |   28
  573 |   11    6 |   15    9 |    7 |   23
  574 |    6    1 |   11   10 |    8 |   28
  575 |   19    7 |    6   20 |    8 |   28
  576 |   13   14 |   17   11 |    8 |   28
  577 |    3   13 |    4    6 |    8 |   28
  578 |    5   16 |   11    8 |    8 |   28
  579 |    1    9 |   13    8 |    8 |   28
  580 |   15    9 |   11   10 |    8 |   28
  581 |   19   19 |    1    9 |    8 |   28
  582 |   12    8 |    2    4 |    8 |   28
  583 |   15   10 |    6   13 |    8 |   28
  584 |   17   10 |    4   10 |    8 |   28
  585 |   12   20 |    8    8 |    8 |   28
  586 |    5   16 |    5   15 |    7 |   23
  587 |   20   12 |   14   18 |    8 |   28
  588 |   16   18 |    7    8 |    8 |   28
  589 |   20    3 |   17   15 |    8 |   28
  590 |   17   12 |    3   19 |    8 |   28
  591 |    4    2 |   18   17 |    8 |   28
  592 |    7   19 |   18    5 |    8 |   28
  593 |    6   11 |   17   15 |    8 |   28
  594 |    4    7 |   19   16 |    8 |   28
  595 |    3   17 |   15    2 |    8 |   28
  596 |   15    5 |   17   14 |    8 |   28
  597 |   15   19 |    2   18 |    8 |   28
  598 |   15   10 |    1   13 |    8 |   28
  599 |    9    1 |    7   19 |    8 |   28
  600 |    3    2 |   14   12 |    8 |   28
  601 |    3   18 |    2    3 |    8 |   28
  602 |   16    2 |   10   14 |    8 |   28
  603 |    6    5 |   14   12 |    8 |   28
